corpus,query_format,k1,b,MRR@10
MTSamples,keyword,1.0,0.25,0.76776
MTSamples,keyword,1.0,0.5,0.774691
MTSamples,keyword,1.0,0.75,0.78129
MTSamples,keyword,1.0,1.0,0.780477
MTSamples,keyword,1.2,0.25,0.765815
MTSamples,keyword,1.2,0.5,0.777348
MTSamples,keyword,1.2,0.75,0.774818
MTSamples,keyword,1.2,1.0,0.773062
MTSamples,keyword,1.5,0.25,0.765908
MTSamples,keyword,1.5,0.5,0.77417
MTSamples,keyword,1.5,0.75,0.774295
MTSamples,keyword,1.5,1.0,0.77608
MTSamples,keyword,2.0,0.25,0.761381
MTSamples,keyword,2.0,0.5,0.764667
MTSamples,keyword,2.0,0.75,0.775237
MTSamples,keyword,2.0,1.0,0.765693
MTSamples,natural_language,1.0,0.25,0.874221
MTSamples,natural_language,1.0,0.5,0.879763
MTSamples,natural_language,1.0,0.75,0.881133
MTSamples,natural_language,1.0,1.0,0.883325
MTSamples,natural_language,1.2,0.25,0.872697
MTSamples,natural_language,1.2,0.5,0.87938
MTSamples,natural_language,1.2,0.75,0.881161
MTSamples,natural_language,1.2,1.0,0.881308
MTSamples,natural_language,1.5,0.25,0.872419
MTSamples,natural_language,1.5,0.5,0.880463
MTSamples,natural_language,1.5,0.75,0.8804
MTSamples,natural_language,1.5,1.0,0.881286
MTSamples,natural_language,2.0,0.25,0.8698
MTSamples,natural_language,2.0,0.5,0.879397
MTSamples,natural_language,2.0,0.75,0.878613
MTSamples,natural_language,2.0,1.0,0.874786
PMC-Patients,keyword,1.0,0.25,0.960352
PMC-Patients,keyword,1.0,0.5,0.964289
PMC-Patients,keyword,1.0,0.75,0.964752
PMC-Patients,keyword,1.0,1.0,0.958867
PMC-Patients,keyword,1.2,0.25,0.958852
PMC-Patients,keyword,1.2,0.5,0.963022
PMC-Patients,keyword,1.2,0.75,0.960152
PMC-Patients,keyword,1.2,1.0,0.953433
PMC-Patients,keyword,1.5,0.25,0.954119
PMC-Patients,keyword,1.5,0.5,0.960141
PMC-Patients,keyword,1.5,0.75,0.953071
PMC-Patients,keyword,1.5,1.0,0.94441
PMC-Patients,keyword,2.0,0.25,0.945522
PMC-Patients,keyword,2.0,0.5,0.955641
PMC-Patients,keyword,2.0,0.75,0.942743
PMC-Patients,keyword,2.0,1.0,0.929791
PMC-Patients,natural_language,1.0,0.25,1.0
PMC-Patients,natural_language,1.0,0.5,1.0
PMC-Patients,natural_language,1.0,0.75,1.0
PMC-Patients,natural_language,1.0,1.0,0.999
PMC-Patients,natural_language,1.2,0.25,1.0
PMC-Patients,natural_language,1.2,0.5,1.0
PMC-Patients,natural_language,1.2,0.75,1.0
PMC-Patients,natural_language,1.2,1.0,0.999
PMC-Patients,natural_language,1.5,0.25,1.0
PMC-Patients,natural_language,1.5,0.5,1.0
PMC-Patients,natural_language,1.5,0.75,1.0
PMC-Patients,natural_language,1.5,1.0,0.997
PMC-Patients,natural_language,2.0,0.25,0.999
PMC-Patients,natural_language,2.0,0.5,1.0
PMC-Patients,natural_language,2.0,0.75,1.0
PMC-Patients,natural_language,2.0,1.0,0.995333
Synthetic,keyword,1.0,0.25,0.257726
Synthetic,keyword,1.0,0.5,0.256537
Synthetic,keyword,1.0,0.75,0.256521
Synthetic,keyword,1.0,1.0,0.256427
Synthetic,keyword,1.2,0.25,0.257737
Synthetic,keyword,1.2,0.5,0.256094
Synthetic,keyword,1.2,0.75,0.254327
Synthetic,keyword,1.2,1.0,0.253857
Synthetic,keyword,1.5,0.25,0.255035
Synthetic,keyword,1.5,0.5,0.252259
Synthetic,keyword,1.5,0.75,0.252563
Synthetic,keyword,1.5,1.0,0.251713
Synthetic,keyword,2.0,0.25,0.25201
Synthetic,keyword,2.0,0.5,0.251697
Synthetic,keyword,2.0,0.75,0.249391
Synthetic,keyword,2.0,1.0,0.250757
Synthetic,natural_language,1.0,0.25,0.577743
Synthetic,natural_language,1.0,0.5,0.577976
Synthetic,natural_language,1.0,0.75,0.575283
Synthetic,natural_language,1.0,1.0,0.574213
Synthetic,natural_language,1.2,0.25,0.572802
Synthetic,natural_language,1.2,0.5,0.572163
Synthetic,natural_language,1.2,0.75,0.572835
Synthetic,natural_language,1.2,1.0,0.567591
Synthetic,natural_language,1.5,0.25,0.568706
Synthetic,natural_language,1.5,0.5,0.567463
Synthetic,natural_language,1.5,0.75,0.566427
Synthetic,natural_language,1.5,1.0,0.56173
Synthetic,natural_language,2.0,0.25,0.56285
Synthetic,natural_language,2.0,0.5,0.557601
Synthetic,natural_language,2.0,0.75,0.557374
Synthetic,natural_language,2.0,1.0,0.555388
