model,category,dataset,query_format,query_source,MRR@10,P@1,Recall@5,MRR@10_lo,MRR@10_hi,MRR@1,MRR@5,Recall@1,Recall@10
BM25,Lexical Baseline,MTSamples,keyword,metadata_only,0.8961111111111112,0.87,0.93,0.8372083333333332,0.9477777777777777,,,,
BM25,Lexical Baseline,MTSamples,natural_language,metadata_only,0.8966666666666667,0.88,0.92,0.8432916666666666,0.95,,,,
BM25,Lexical Baseline,PMC-Patients,keyword,metadata_only,0.9603333333333333,0.94,0.99,0.9266583333333333,0.988375,,,,
BM25,Lexical Baseline,PMC-Patients,natural_language,metadata_only,0.98,0.97,0.99,0.95,1.0,,,,
BM25,Lexical Baseline,Synthetic,keyword,metadata_only,0.8561666666666666,0.76,1.0,0.7986583333333335,0.9053458333333333,,,,
BM25,Lexical Baseline,Synthetic,natural_language,metadata_only,0.9141666666666666,0.84,1.0,0.8724791666666667,0.9491875,,,,
BioBERT,Domain Encoder,MTSamples,keyword,metadata_only,0.4289563492063492,0.32,0.58,0.35269761904761904,0.5133084325396825,0.32,0.41483333333333333,0.32,0.68
BioBERT,Domain Encoder,MTSamples,natural_language,metadata_only,0.34390873015873014,0.21,0.51,0.27391537698412693,0.42311448412698416,0.21,0.32299999999999995,0.21,0.67
BioBERT,Domain Encoder,PMC-Patients,keyword,metadata_only,0.421702380952381,0.28,0.63,0.3436280753968254,0.505995238095238,0.28,0.40916666666666673,0.28,0.73
BioBERT,Domain Encoder,PMC-Patients,natural_language,metadata_only,0.44517460317460317,0.34,0.59,0.358684126984127,0.5244740079365079,0.34,0.42766666666666675,0.34,0.72
BioBERT,Domain Encoder,Synthetic,keyword,metadata_only,0.4141904761904762,0.26,0.67,0.34138988095238093,0.49185119047619047,0.26,0.4053333333333333,0.26,0.74
BioBERT,Domain Encoder,Synthetic,natural_language,metadata_only,0.27878571428571425,0.15,0.47,0.21885079365079366,0.3475847222222222,0.15,0.26116666666666666,0.15,0.6
